features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_1', 'feature_20', 'feature_34', 'feature_206', 'feature_248']",0.834183673,319,47,18,8,1010
"['feature_1', 'feature_20', 'feature_34', 'feature_206', 'feature_342']",0.808673469,309,57,18,8,1110
"['feature_1', 'feature_20', 'feature_34', 'feature_206', 'feature_478']",0.803571429,310,56,21,5,1190
"['feature_1', 'feature_20', 'feature_34', 'feature_206', 'feature_520']",0.831632653,318,48,18,8,1020
"['feature_1', 'feature_20', 'feature_34', 'feature_248', 'feature_342']",0.839285714,321,45,18,8,990
"['feature_1', 'feature_20', 'feature_34', 'feature_248', 'feature_478']",0.834183673,320,46,19,7,1030
"['feature_1', 'feature_20', 'feature_34', 'feature_248', 'feature_520']",0.818877551,314,52,19,7,1090
"['feature_1', 'feature_20', 'feature_34', 'feature_342', 'feature_478']",0.81377551,315,51,22,4,1170
"['feature_1', 'feature_20', 'feature_34', 'feature_342', 'feature_520']",0.839285714,321,45,18,8,990
"['feature_1', 'feature_20', 'feature_34', 'feature_478', 'feature_520']",0.826530612,317,49,19,7,1060
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_131']",0.836734694,323,43,21,5,1060
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_206']",0.829081633,319,47,20,6,1070
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_248']",0.846938776,326,40,20,6,1000
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_342']",0.841836735,324,42,20,6,1020
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_478']",0.826530612,319,47,21,5,1100
"['feature_1', 'feature_20', 'feature_60', 'feature_122', 'feature_520']",0.823979592,317,49,20,6,1090
"['feature_1', 'feature_20', 'feature_60', 'feature_131', 'feature_206']",0.831632653,319,47,19,7,1040
"['feature_1', 'feature_20', 'feature_60', 'feature_131', 'feature_248']",0.831632653,320,46,20,6,1060
"['feature_1', 'feature_20', 'feature_60', 'feature_131', 'feature_342']",0.841836735,324,42,20,6,1020
"['feature_1', 'feature_20', 'feature_60', 'feature_131', 'feature_478']",0.823979592,317,49,20,6,1090
"['feature_1', 'feature_20', 'feature_60', 'feature_131', 'feature_520']",0.821428571,317,49,21,5,1120
"['feature_1', 'feature_20', 'feature_60', 'feature_206', 'feature_248']",0.821428571,316,50,20,6,1100
"['feature_1', 'feature_20', 'feature_60', 'feature_206', 'feature_342']",0.829081633,318,48,19,7,1050
"['feature_1', 'feature_20', 'feature_60', 'feature_206', 'feature_478']",0.821428571,315,51,19,7,1080
"['feature_1', 'feature_20', 'feature_60', 'feature_206', 'feature_520']",0.829081633,316,50,17,9,1010
"['feature_1', 'feature_20', 'feature_60', 'feature_248', 'feature_342']",0.834183673,320,46,19,7,1030
"['feature_1', 'feature_20', 'feature_60', 'feature_248', 'feature_478']",0.836734694,319,47,17,9,980
"['feature_1', 'feature_20', 'feature_60', 'feature_248', 'feature_520']",0.775510204,296,70,18,8,1240
"['feature_1', 'feature_20', 'feature_60', 'feature_342', 'feature_478']",0.821428571,315,51,19,7,1080
"['feature_1', 'feature_20', 'feature_60', 'feature_342', 'feature_520']",0.81377551,310,56,17,9,1070
"['feature_1', 'feature_20', 'feature_60', 'feature_478', 'feature_520']",0.823979592,315,51,18,8,1050
"['feature_1', 'feature_20', 'feature_122', 'feature_131', 'feature_206']",0.859693878,331,35,20,6,950
"['feature_1', 'feature_20', 'feature_122', 'feature_131', 'feature_248']",0.841836735,326,40,22,4,1060
"['feature_1', 'feature_20', 'feature_122', 'feature_131', 'feature_342']",0.849489796,329,37,22,4,1030
"['feature_1', 'feature_20', 'feature_122', 'feature_131', 'feature_478']",0.852040816,331,35,23,3,1040
"['feature_1', 'feature_20', 'feature_122', 'feature_131', 'feature_520']",0.829081633,321,45,22,4,1110
"['feature_1', 'feature_20', 'feature_122', 'feature_206', 'feature_248']",0.831632653,321,45,21,5,1080
"['feature_1', 'feature_20', 'feature_122', 'feature_206', 'feature_342']",0.816326531,314,52,20,6,1120
"['feature_1', 'feature_20', 'feature_122', 'feature_206', 'feature_478']",0.823979592,317,49,20,6,1090
"['feature_1', 'feature_20', 'feature_122', 'feature_206', 'feature_520']",0.831632653,320,46,20,6,1060
"['feature_1', 'feature_20', 'feature_122', 'feature_248', 'feature_342']",0.831632653,321,45,21,5,1080
"['feature_1', 'feature_20', 'feature_122', 'feature_248', 'feature_478']",0.826530612,319,47,21,5,1100
"['feature_1', 'feature_20', 'feature_122', 'feature_248', 'feature_520']",0.818877551,317,49,22,4,1150
"['feature_1', 'feature_20', 'feature_122', 'feature_342', 'feature_478']",0.821428571,317,49,21,5,1120
"['feature_1', 'feature_20', 'feature_122', 'feature_342', 'feature_520']",0.829081633,320,46,21,5,1090
"['feature_1', 'feature_20', 'feature_122', 'feature_478', 'feature_520']",0.821428571,316,50,20,6,1100
"['feature_1', 'feature_20', 'feature_131', 'feature_206', 'feature_248']",0.831632653,323,43,23,3,1120
"['feature_1', 'feature_20', 'feature_131', 'feature_206', 'feature_342']",0.793367347,306,60,21,5,1230
"['feature_1', 'feature_20', 'feature_131', 'feature_206', 'feature_478']",0.780612245,302,64,22,4,1300
"['feature_1', 'feature_20', 'feature_131', 'feature_206', 'feature_520']",0.826530612,319,47,21,5,1100
"['feature_1', 'feature_20', 'feature_131', 'feature_248', 'feature_342']",0.806122449,312,54,22,4,1200
"['feature_1', 'feature_20', 'feature_131', 'feature_248', 'feature_478']",0.831632653,321,45,21,5,1080
"['feature_1', 'feature_20', 'feature_131', 'feature_248', 'feature_520']",0.788265306,305,61,22,4,1270
"['feature_1', 'feature_20', 'feature_131', 'feature_342', 'feature_478']",0.795918367,306,60,20,6,1200
"['feature_1', 'feature_20', 'feature_131', 'feature_342', 'feature_520']",0.808673469,311,55,20,6,1150
"['feature_1', 'feature_20', 'feature_131', 'feature_478', 'feature_520']",0.81377551,314,52,21,5,1150
"['feature_1', 'feature_20', 'feature_206', 'feature_248', 'feature_342']",0.783163265,303,63,22,4,1290
"['feature_1', 'feature_20', 'feature_206', 'feature_248', 'feature_478']",0.788265306,304,62,21,5,1250
"['feature_1', 'feature_20', 'feature_206', 'feature_248', 'feature_520']",0.806122449,310,56,20,6,1160
"['feature_1', 'feature_20', 'feature_206', 'feature_342', 'feature_478']",0.760204082,295,71,23,3,1400
"['feature_1', 'feature_20', 'feature_206', 'feature_342', 'feature_520']",0.788265306,302,64,19,7,1210
"['feature_1', 'feature_20', 'feature_206', 'feature_478', 'feature_520']",0.798469388,307,59,20,6,1190
"['feature_1', 'feature_20', 'feature_248', 'feature_342', 'feature_478']",0.765306122,295,71,21,5,1340
"['feature_1', 'feature_20', 'feature_248', 'feature_342', 'feature_520']",0.780612245,300,66,20,6,1260
"['feature_1', 'feature_20', 'feature_248', 'feature_478', 'feature_520']",0.795918367,307,59,21,5,1220
"['feature_1', 'feature_20', 'feature_342', 'feature_478', 'feature_520']",0.795918367,307,59,21,5,1220
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_131']",0.846938776,324,42,18,8,960
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_206']",0.844387755,322,44,17,9,950
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_248']",0.841836735,320,46,16,10,940
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_342']",0.869897959,333,33,18,8,870
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_478']",0.857142857,327,39,17,9,900
"['feature_1', 'feature_34', 'feature_60', 'feature_122', 'feature_520']",0.852040816,323,43,15,11,880
"['feature_1', 'feature_34', 'feature_60', 'feature_131', 'feature_206']",0.846938776,322,44,16,10,920
"['feature_1', 'feature_34', 'feature_60', 'feature_131', 'feature_248']",0.836734694,319,47,17,9,980
"['feature_1', 'feature_34', 'feature_60', 'feature_131', 'feature_342']",0.841836735,321,45,17,9,960
"['feature_1', 'feature_34', 'feature_60', 'feature_131', 'feature_478']",0.839285714,319,47,16,10,950
"['feature_1', 'feature_34', 'feature_60', 'feature_131', 'feature_520']",0.829081633,315,51,16,10,990
"['feature_1', 'feature_34', 'feature_60', 'feature_206', 'feature_248']",0.84,316,50,12,14,860
"['feature_1', 'feature_34', 'feature_60', 'feature_206', 'feature_342']",0.841836735,320,46,16,10,940
"['feature_1', 'feature_34', 'feature_60', 'feature_206', 'feature_478']",0.831632653,316,50,16,10,980
"['feature_1', 'feature_34', 'feature_60', 'feature_206', 'feature_520']",0.839285714,317,49,14,12,910
"['feature_1', 'feature_34', 'feature_60', 'feature_248', 'feature_342']",0.841836735,318,48,14,12,900
"['feature_1', 'feature_34', 'feature_60', 'feature_248', 'feature_478']",0.834183673,316,50,15,11,950
"['feature_1', 'feature_34', 'feature_60', 'feature_248', 'feature_520']",0.808673469,304,62,13,13,1010
"['feature_1', 'feature_34', 'feature_60', 'feature_342', 'feature_478']",0.829081633,317,49,18,8,1030
"['feature_1', 'feature_34', 'feature_60', 'feature_342', 'feature_520']",0.834183673,316,50,15,11,950
"['feature_1', 'feature_34', 'feature_60', 'feature_478', 'feature_520']",0.844387755,321,45,16,10,930
"['feature_1', 'feature_34', 'feature_122', 'feature_131', 'feature_206']",0.841836735,325,41,21,5,1040
"['feature_1', 'feature_34', 'feature_122', 'feature_131', 'feature_248']",0.849489796,327,39,20,6,990
"['feature_1', 'feature_34', 'feature_122', 'feature_131', 'feature_342']",0.836734694,324,42,22,4,1080
"['feature_1', 'feature_34', 'feature_122', 'feature_131', 'feature_478']",0.834183673,321,45,20,6,1050
"['feature_1', 'feature_34', 'feature_122', 'feature_131', 'feature_520']",0.826530612,318,48,20,6,1080
"['feature_1', 'feature_34', 'feature_122', 'feature_206', 'feature_248']",0.839285714,320,46,17,9,970
"['feature_1', 'feature_34', 'feature_122', 'feature_206', 'feature_342']",0.829081633,319,47,20,6,1070
"['feature_1', 'feature_34', 'feature_122', 'feature_206', 'feature_478']",0.818877551,314,52,19,7,1090
"['feature_1', 'feature_34', 'feature_122', 'feature_206', 'feature_520']",0.831632653,315,51,15,11,960
"['feature_1', 'feature_34', 'feature_122', 'feature_248', 'feature_342']",0.841836735,321,45,17,9,960
"['feature_1', 'feature_34', 'feature_122', 'feature_248', 'feature_478']",0.834183673,316,50,15,11,950
"['feature_1', 'feature_34', 'feature_122', 'feature_248', 'feature_520']",0.831632653,316,50,16,10,980
"['feature_1', 'feature_34', 'feature_122', 'feature_342', 'feature_478']",0.826530612,319,47,21,5,1100
"['feature_1', 'feature_34', 'feature_122', 'feature_342', 'feature_520']",0.834183673,318,48,17,9,990
"['feature_1', 'feature_34', 'feature_122', 'feature_478', 'feature_520']",0.81122449,309,57,17,9,1080
"['feature_1', 'feature_34', 'feature_131', 'feature_206', 'feature_248']",0.818877551,314,52,19,7,1090
"['feature_1', 'feature_34', 'feature_131', 'feature_206', 'feature_342']",0.808673469,308,58,17,9,1090
"['feature_1', 'feature_34', 'feature_131', 'feature_206', 'feature_478']",0.793367347,303,63,18,8,1170
"['feature_1', 'feature_34', 'feature_131', 'feature_206', 'feature_520']",0.821428571,312,54,16,10,1020
"['feature_1', 'feature_34', 'feature_131', 'feature_248', 'feature_342']",0.818877551,314,52,19,7,1090
"['feature_1', 'feature_34', 'feature_131', 'feature_248', 'feature_478']",0.829081633,317,49,18,8,1030
"['feature_1', 'feature_34', 'feature_131', 'feature_248', 'feature_520']",0.788265306,302,64,19,7,1210
"['feature_1', 'feature_34', 'feature_131', 'feature_342', 'feature_478']",0.793367347,306,60,21,5,1230
"['feature_1', 'feature_34', 'feature_131', 'feature_342', 'feature_520']",0.808673469,309,57,18,8,1110
"['feature_1', 'feature_34', 'feature_131', 'feature_478', 'feature_520']",0.808673469,309,57,18,8,1110
"['feature_1', 'feature_34', 'feature_206', 'feature_248', 'feature_342']",0.798469388,305,61,18,8,1150
"['feature_1', 'feature_34', 'feature_206', 'feature_248', 'feature_478']",0.788265306,301,65,18,8,1190
"['feature_1', 'feature_34', 'feature_206', 'feature_248', 'feature_520']",0.788265306,296,70,13,13,1090
"['feature_1', 'feature_34', 'feature_206', 'feature_342', 'feature_478']",0.780612245,300,66,20,6,1260
"['feature_1', 'feature_34', 'feature_206', 'feature_342', 'feature_520']",0.788265306,298,68,15,11,1130
"['feature_1', 'feature_34', 'feature_206', 'feature_478', 'feature_520']",0.775510204,295,71,17,9,1220
"['feature_1', 'feature_34', 'feature_248', 'feature_342', 'feature_478']",0.798469388,306,60,19,7,1170
"['feature_1', 'feature_34', 'feature_248', 'feature_342', 'feature_520']",0.793367347,300,66,15,11,1110
"['feature_1', 'feature_34', 'feature_248', 'feature_478', 'feature_520']",0.793367347,298,68,13,13,1070
"['feature_1', 'feature_34', 'feature_342', 'feature_478', 'feature_520']",0.801020408,303,63,15,11,1080
"['feature_1', 'feature_60', 'feature_122', 'feature_131', 'feature_206']",0.831632653,318,48,18,8,1020
"['feature_1', 'feature_60', 'feature_122', 'feature_131', 'feature_248']",0.834183673,319,47,18,8,1010
"['feature_1', 'feature_60', 'feature_122', 'feature_131', 'feature_342']",0.818877551,314,52,19,7,1090
"['feature_1', 'feature_60', 'feature_122', 'feature_131', 'feature_478']",0.839285714,321,45,18,8,990
"['feature_1', 'feature_60', 'feature_122', 'feature_131', 'feature_520']",0.821428571,314,52,18,8,1060
"['feature_1', 'feature_60', 'feature_122', 'feature_206', 'feature_248']",0.846938776,322,44,16,10,920
"['feature_1', 'feature_60', 'feature_122', 'feature_206', 'feature_342']",0.839285714,320,46,17,9,970
"['feature_1', 'feature_60', 'feature_122', 'feature_206', 'feature_478']",0.829081633,314,52,15,11,970
"['feature_1', 'feature_60', 'feature_122', 'feature_206', 'feature_520']",0.846938776,323,43,17,9,940
"['feature_1', 'feature_60', 'feature_122', 'feature_248', 'feature_342']",0.859693878,328,38,17,9,890
"['feature_1', 'feature_60', 'feature_122', 'feature_248', 'feature_478']",0.836734694,319,47,17,9,980
"['feature_1', 'feature_60', 'feature_122', 'feature_248', 'feature_520']",0.821428571,311,55,15,11,1000
"['feature_1', 'feature_60', 'feature_122', 'feature_342', 'feature_478']",0.839285714,320,46,17,9,970
"['feature_1', 'feature_60', 'feature_122', 'feature_342', 'feature_520']",0.849489796,323,43,16,10,910
"['feature_1', 'feature_60', 'feature_122', 'feature_478', 'feature_520']",0.846938776,322,44,16,10,920
"['feature_1', 'feature_60', 'feature_131', 'feature_206', 'feature_248']",0.826530612,317,49,19,7,1060
"['feature_1', 'feature_60', 'feature_131', 'feature_206', 'feature_342']",0.823979592,315,51,18,8,1050
"['feature_1', 'feature_60', 'feature_131', 'feature_206', 'feature_478']",0.829081633,316,50,17,9,1010
"['feature_1', 'feature_60', 'feature_131', 'feature_206', 'feature_520']",0.831632653,318,48,18,8,1020
"['feature_1', 'feature_60', 'feature_131', 'feature_248', 'feature_342']",0.823979592,315,51,18,8,1050
"['feature_1', 'feature_60', 'feature_131', 'feature_248', 'feature_478']",0.836734694,319,47,17,9,980
"['feature_1', 'feature_60', 'feature_131', 'feature_248', 'feature_520']",0.793367347,303,63,18,8,1170
"['feature_1', 'feature_60', 'feature_131', 'feature_342', 'feature_478']",0.823979592,315,51,18,8,1050
"['feature_1', 'feature_60', 'feature_131', 'feature_342', 'feature_520']",0.818877551,312,54,17,9,1050
"['feature_1', 'feature_60', 'feature_131', 'feature_478', 'feature_520']",0.829081633,314,52,15,11,970
"['feature_1', 'feature_60', 'feature_206', 'feature_248', 'feature_342']",0.831632653,315,51,15,11,960
"['feature_1', 'feature_60', 'feature_206', 'feature_248', 'feature_478']",0.81377551,308,58,15,11,1030
"['feature_1', 'feature_60', 'feature_206', 'feature_248', 'feature_520']",0.823979592,310,56,13,13,950
"['feature_1', 'feature_60', 'feature_206', 'feature_342', 'feature_478']",0.801020408,305,61,17,9,1120
"['feature_1', 'feature_60', 'feature_206', 'feature_342', 'feature_520']",0.816326531,309,57,15,11,1020
"['feature_1', 'feature_60', 'feature_206', 'feature_478', 'feature_520']",0.83,311,55,12,14,910
"['feature_1', 'feature_60', 'feature_248', 'feature_342', 'feature_478']",0.816326531,308,58,14,12,1000
"['feature_1', 'feature_60', 'feature_248', 'feature_342', 'feature_520']",0.803571429,303,63,14,12,1050
"['feature_1', 'feature_60', 'feature_248', 'feature_478', 'feature_520']",0.808673469,305,61,14,12,1030
"['feature_1', 'feature_60', 'feature_342', 'feature_478', 'feature_520']",0.81122449,307,59,15,11,1040
"['feature_1', 'feature_122', 'feature_131', 'feature_206', 'feature_248']",0.854591837,328,38,19,7,950
"['feature_1', 'feature_122', 'feature_131', 'feature_206', 'feature_342']",0.826530612,317,49,19,7,1060
"['feature_1', 'feature_122', 'feature_131', 'feature_206', 'feature_478']",0.826530612,321,45,23,3,1140
"['feature_1', 'feature_122', 'feature_131', 'feature_206', 'feature_520']",0.844387755,323,43,18,8,970
"['feature_1', 'feature_122', 'feature_131', 'feature_248', 'feature_342']",0.844387755,325,41,20,6,1010
"['feature_1', 'feature_122', 'feature_131', 'feature_248', 'feature_478']",0.841836735,325,41,21,5,1040
"['feature_1', 'feature_122', 'feature_131', 'feature_248', 'feature_520']",0.821428571,315,51,19,7,1080
"['feature_1', 'feature_122', 'feature_131', 'feature_342', 'feature_478']",0.816326531,315,51,21,5,1140
"['feature_1', 'feature_122', 'feature_131', 'feature_342', 'feature_520']",0.846938776,325,41,19,7,980
"['feature_1', 'feature_122', 'feature_131', 'feature_478', 'feature_520']",0.826530612,317,49,19,7,1060
"['feature_1', 'feature_122', 'feature_206', 'feature_248', 'feature_342']",0.826530612,318,48,20,6,1080
"['feature_1', 'feature_122', 'feature_206', 'feature_248', 'feature_478']",0.834183673,317,49,16,10,970
"['feature_1', 'feature_122', 'feature_206', 'feature_248', 'feature_520']",0.816326531,309,57,15,11,1020
"['feature_1', 'feature_122', 'feature_206', 'feature_342', 'feature_478']",0.795918367,306,60,20,6,1200
"['feature_1', 'feature_122', 'feature_206', 'feature_342', 'feature_520']",0.816326531,311,55,17,9,1060
"['feature_1', 'feature_122', 'feature_206', 'feature_478', 'feature_520']",0.829081633,316,50,17,9,1010
"['feature_1', 'feature_122', 'feature_248', 'feature_342', 'feature_478']",0.808673469,309,57,18,8,1110
"['feature_1', 'feature_122', 'feature_248', 'feature_342', 'feature_520']",0.823979592,314,52,17,9,1030
"['feature_1', 'feature_122', 'feature_248', 'feature_478', 'feature_520']",0.806122449,307,59,17,9,1100
"['feature_1', 'feature_122', 'feature_342', 'feature_478', 'feature_520']",0.798469388,305,61,18,8,1150
"['feature_1', 'feature_131', 'feature_206', 'feature_248', 'feature_342']",0.798469388,305,61,18,8,1150
"['feature_1', 'feature_131', 'feature_206', 'feature_248', 'feature_478']",0.783163265,299,67,18,8,1210
"['feature_1', 'feature_131', 'feature_206', 'feature_248', 'feature_520']",0.790816327,299,67,15,11,1120
"['feature_1', 'feature_131', 'feature_206', 'feature_342', 'feature_478']",0.755102041,289,77,19,7,1340
"['feature_1', 'feature_131', 'feature_206', 'feature_342', 'feature_520']",0.788265306,301,65,18,8,1190
"['feature_1', 'feature_131', 'feature_206', 'feature_478', 'feature_520']",0.795918367,302,64,16,10,1120
"['feature_1', 'feature_131', 'feature_248', 'feature_342', 'feature_478']",0.798469388,306,60,19,7,1170
"['feature_1', 'feature_131', 'feature_248', 'feature_342', 'feature_520']",0.770408163,295,71,19,7,1280
"['feature_1', 'feature_131', 'feature_248', 'feature_478', 'feature_520']",0.780612245,297,69,17,9,1200
"['feature_1', 'feature_131', 'feature_342', 'feature_478', 'feature_520']",0.785714286,302,64,20,6,1240
"['feature_1', 'feature_206', 'feature_248', 'feature_342', 'feature_478']",0.778061224,298,68,19,7,1250
"['feature_1', 'feature_206', 'feature_248', 'feature_342', 'feature_520']",0.760204082,288,78,16,10,1260
"['feature_1', 'feature_206', 'feature_248', 'feature_478', 'feature_520']",0.742346939,280,86,15,11,1310
"['feature_1', 'feature_206', 'feature_342', 'feature_478', 'feature_520']",0.760204082,288,78,16,10,1260
"['feature_1', 'feature_248', 'feature_342', 'feature_478', 'feature_520']",0.744897959,283,83,17,9,1340
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_131']",0.882653061,339,27,19,7,840
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_206']",0.87755102,339,27,21,5,900
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_248']",0.87244898,336,30,20,6,900
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_342']",0.867346939,336,30,22,4,960
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_478']",0.869897959,335,31,20,6,910
"['feature_20', 'feature_34', 'feature_60', 'feature_122', 'feature_520']",0.857142857,327,39,17,9,900
"['feature_20', 'feature_34', 'feature_60', 'feature_131', 'feature_206']",0.862244898,331,35,19,7,920
"['feature_20', 'feature_34', 'feature_60', 'feature_131', 'feature_248']",0.854591837,328,38,19,7,950
"['feature_20', 'feature_34', 'feature_60', 'feature_131', 'feature_342']",0.859693878,329,37,18,8,910
"['feature_20', 'feature_34', 'feature_60', 'feature_131', 'feature_478']",0.859693878,329,37,18,8,910
"['feature_20', 'feature_34', 'feature_60', 'feature_131', 'feature_520']",0.859693878,327,39,16,10,870
"['feature_20', 'feature_34', 'feature_60', 'feature_206', 'feature_248']",0.841836735,323,43,19,7,1000
"['feature_20', 'feature_34', 'feature_60', 'feature_206', 'feature_342']",0.852040816,327,39,19,7,960
"['feature_20', 'feature_34', 'feature_60', 'feature_206', 'feature_478']",0.849489796,325,41,18,8,950
"['feature_20', 'feature_34', 'feature_60', 'feature_206', 'feature_520']",0.846938776,322,44,16,10,920
"['feature_20', 'feature_34', 'feature_60', 'feature_248', 'feature_342']",0.844387755,324,42,19,7,990
"['feature_20', 'feature_34', 'feature_60', 'feature_248', 'feature_478']",0.844387755,324,42,19,7,990
"['feature_20', 'feature_34', 'feature_60', 'feature_248', 'feature_520']",0.831632653,318,48,18,8,1020
"['feature_20', 'feature_34', 'feature_60', 'feature_342', 'feature_478']",0.857142857,329,37,19,7,940
"['feature_20', 'feature_34', 'feature_60', 'feature_342', 'feature_520']",0.864795918,331,35,18,8,890
"['feature_20', 'feature_34', 'feature_60', 'feature_478', 'feature_520']",0.836734694,321,45,19,7,1020
"['feature_20', 'feature_34', 'feature_122', 'feature_131', 'feature_206']",0.849489796,326,40,19,7,970
"['feature_20', 'feature_34', 'feature_122', 'feature_131', 'feature_248']",0.859693878,330,36,19,7,930
"['feature_20', 'feature_34', 'feature_122', 'feature_131', 'feature_342']",0.836734694,321,45,19,7,1020
"['feature_20', 'feature_34', 'feature_122', 'feature_131', 'feature_478']",0.854591837,328,38,19,7,950
"['feature_20', 'feature_34', 'feature_122', 'feature_131', 'feature_520']",0.852040816,327,39,19,7,960
"['feature_20', 'feature_34', 'feature_122', 'feature_206', 'feature_248']",0.834183673,318,48,17,9,990
"['feature_20', 'feature_34', 'feature_122', 'feature_206', 'feature_342']",0.834183673,322,44,21,5,1070
"['feature_20', 'feature_34', 'feature_122', 'feature_206', 'feature_478']",0.841836735,326,40,22,4,1060
"['feature_20', 'feature_34', 'feature_122', 'feature_206', 'feature_520']",0.836734694,319,47,17,9,980
"['feature_20', 'feature_34', 'feature_122', 'feature_248', 'feature_342']",0.821428571,313,53,17,9,1040
"['feature_20', 'feature_34', 'feature_122', 'feature_248', 'feature_478']",0.821428571,315,51,19,7,1080
"['feature_20', 'feature_34', 'feature_122', 'feature_248', 'feature_520']",0.834183673,320,46,19,7,1030
"['feature_20', 'feature_34', 'feature_122', 'feature_342', 'feature_478']",0.841836735,322,44,18,8,980
"['feature_20', 'feature_34', 'feature_122', 'feature_342', 'feature_520']",0.81122449,308,58,16,10,1060
"['feature_20', 'feature_34', 'feature_122', 'feature_478', 'feature_520']",0.821428571,312,54,16,10,1020
"['feature_20', 'feature_34', 'feature_131', 'feature_206', 'feature_248']",0.823979592,316,50,19,7,1070
"['feature_20', 'feature_34', 'feature_131', 'feature_206', 'feature_342']",0.823979592,317,49,20,6,1090
"['feature_20', 'feature_34', 'feature_131', 'feature_206', 'feature_478']",0.821428571,315,51,19,7,1080
"['feature_20', 'feature_34', 'feature_131', 'feature_206', 'feature_520']",0.826530612,316,50,18,8,1040
"['feature_20', 'feature_34', 'feature_131', 'feature_248', 'feature_342']",0.818877551,314,52,19,7,1090
"['feature_20', 'feature_34', 'feature_131', 'feature_248', 'feature_478']",0.849489796,326,40,19,7,970
"['feature_20', 'feature_34', 'feature_131', 'feature_248', 'feature_520']",0.831632653,320,46,20,6,1060
"['feature_20', 'feature_34', 'feature_131', 'feature_342', 'feature_478']",0.831632653,319,47,19,7,1040
"['feature_20', 'feature_34', 'feature_131', 'feature_342', 'feature_520']",0.806122449,308,58,18,8,1120
"['feature_20', 'feature_34', 'feature_131', 'feature_478', 'feature_520']",0.816326531,313,53,19,7,1100
"['feature_20', 'feature_34', 'feature_206', 'feature_248', 'feature_342']",0.846938776,324,42,18,8,960
"['feature_20', 'feature_34', 'feature_206', 'feature_248', 'feature_478']",0.854591837,327,39,18,8,930
"['feature_20', 'feature_34', 'feature_206', 'feature_248', 'feature_520']",0.846938776,321,45,15,11,900
"['feature_20', 'feature_34', 'feature_206', 'feature_342', 'feature_478']",0.849489796,326,40,19,7,970
"['feature_20', 'feature_34', 'feature_206', 'feature_342', 'feature_520']",0.844387755,321,45,16,10,930
"['feature_20', 'feature_34', 'feature_206', 'feature_478', 'feature_520']",0.821428571,312,54,16,10,1020
"['feature_20', 'feature_34', 'feature_248', 'feature_342', 'feature_478']",0.844387755,323,43,18,8,970
"['feature_20', 'feature_34', 'feature_248', 'feature_342', 'feature_520']",0.798469388,303,63,16,10,1110
"['feature_20', 'feature_34', 'feature_248', 'feature_478', 'feature_520']",0.839285714,320,46,17,9,970
"['feature_20', 'feature_34', 'feature_342', 'feature_478', 'feature_520']",0.816326531,310,56,16,10,1040
"['feature_20', 'feature_60', 'feature_122', 'feature_131', 'feature_206']",0.852040816,328,38,20,6,980
"['feature_20', 'feature_60', 'feature_122', 'feature_131', 'feature_248']",0.839285714,324,42,21,5,1050
"['feature_20', 'feature_60', 'feature_122', 'feature_131', 'feature_342']",0.839285714,323,43,20,6,1030
"['feature_20', 'feature_60', 'feature_122', 'feature_131', 'feature_478']",0.841836735,324,42,20,6,1020
"['feature_20', 'feature_60', 'feature_122', 'feature_131', 'feature_520']",0.834183673,318,48,17,9,990
"['feature_20', 'feature_60', 'feature_122', 'feature_206', 'feature_248']",0.852040816,330,36,22,4,1020
"['feature_20', 'feature_60', 'feature_122', 'feature_206', 'feature_342']",0.852040816,329,37,21,5,1000
"['feature_20', 'feature_60', 'feature_122', 'feature_206', 'feature_478']",0.836734694,325,41,23,3,1100
"['feature_20', 'feature_60', 'feature_122', 'feature_206', 'feature_520']",0.826530612,319,47,21,5,1100
"['feature_20', 'feature_60', 'feature_122', 'feature_248', 'feature_342']",0.859693878,331,35,20,6,950
"['feature_20', 'feature_60', 'feature_122', 'feature_248', 'feature_478']",0.839285714,326,40,23,3,1090
"['feature_20', 'feature_60', 'feature_122', 'feature_248', 'feature_520']",0.798469388,306,60,19,7,1170
"['feature_20', 'feature_60', 'feature_122', 'feature_342', 'feature_478']",0.849489796,329,37,22,4,1030
"['feature_20', 'feature_60', 'feature_122', 'feature_342', 'feature_520']",0.841836735,324,42,20,6,1020
"['feature_20', 'feature_60', 'feature_122', 'feature_478', 'feature_520']",0.818877551,315,51,20,6,1110
"['feature_20', 'feature_60', 'feature_131', 'feature_206', 'feature_248']",0.841836735,325,41,21,5,1040
"['feature_20', 'feature_60', 'feature_131', 'feature_206', 'feature_342']",0.836734694,321,45,19,7,1020
