features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_1', 'feature_122', 'feature_520']",0.806122449,309,57,19,7,1140
"['feature_1', 'feature_131', 'feature_206']",0.780612245,299,67,19,7,1240
"['feature_1', 'feature_131', 'feature_248']",0.806122449,309,57,19,7,1140
"['feature_1', 'feature_131', 'feature_342']",0.760204082,294,72,22,4,1380
"['feature_1', 'feature_131', 'feature_478']",0.772959184,297,69,20,6,1290
"['feature_1', 'feature_131', 'feature_520']",0.770408163,297,69,21,5,1320
"['feature_1', 'feature_206', 'feature_248']",0.757653061,288,78,17,9,1290
"['feature_1', 'feature_206', 'feature_342']",0.724489796,278,88,20,6,1480
"['feature_1', 'feature_206', 'feature_478']",0.709183673,269,97,17,9,1480
"['feature_1', 'feature_206', 'feature_520']",0.739795918,281,85,17,9,1360
"['feature_1', 'feature_248', 'feature_342']",0.772959184,295,71,18,8,1250
"['feature_1', 'feature_248', 'feature_478']",0.775510204,295,71,17,9,1220
"['feature_1', 'feature_248', 'feature_520']",0.67,247,119,12,14,1550
"['feature_1', 'feature_342', 'feature_478']",0.74744898,285,81,18,8,1350
"['feature_1', 'feature_342', 'feature_520']",0.760204082,289,77,17,9,1280
"['feature_1', 'feature_478', 'feature_520']",0.757653061,287,79,16,10,1270
"['feature_20', 'feature_34', 'feature_60']",0.849489796,327,39,20,6,990
"['feature_20', 'feature_34', 'feature_122']",0.836734694,323,43,21,5,1060
"['feature_20', 'feature_34', 'feature_131']",0.844387755,326,40,21,5,1030
"['feature_20', 'feature_34', 'feature_206']",0.788265306,301,65,18,8,1190
"['feature_20', 'feature_34', 'feature_248']",0.816326531,316,50,22,4,1160
"['feature_20', 'feature_34', 'feature_342']",0.821428571,309,57,13,13,960
"['feature_20', 'feature_34', 'feature_478']",0.829081633,316,50,17,9,1010
"['feature_20', 'feature_34', 'feature_520']",0.788265306,300,66,17,9,1170
"['feature_20', 'feature_60', 'feature_122']",0.852040816,329,37,21,5,1000
"['feature_20', 'feature_60', 'feature_131']",0.823979592,316,50,19,7,1070
"['feature_20', 'feature_60', 'feature_206']",0.798469388,307,59,20,6,1190
"['feature_20', 'feature_60', 'feature_248']",0.785714286,303,63,21,5,1260
"['feature_20', 'feature_60', 'feature_342']",0.836734694,322,44,20,6,1040
"['feature_20', 'feature_60', 'feature_478']",0.793367347,305,61,20,6,1210
"['feature_20', 'feature_60', 'feature_520']",0.778061224,299,67,20,6,1270
"['feature_20', 'feature_122', 'feature_131']",0.869897959,335,31,20,6,910
"['feature_20', 'feature_122', 'feature_206']",0.829081633,319,47,20,6,1070
"['feature_20', 'feature_122', 'feature_248']",0.841836735,322,44,18,8,980
"['feature_20', 'feature_122', 'feature_342']",0.806122449,311,55,21,5,1180
"['feature_20', 'feature_122', 'feature_478']",0.806122449,309,57,19,7,1140
"['feature_20', 'feature_122', 'feature_520']",0.821428571,315,51,19,7,1080
"['feature_20', 'feature_131', 'feature_206']",0.783163265,301,65,20,6,1250
"['feature_20', 'feature_131', 'feature_248']",0.803571429,310,56,21,5,1190
"['feature_20', 'feature_131', 'feature_342']",0.801020408,305,61,17,9,1120
"['feature_20', 'feature_131', 'feature_478']",0.823979592,315,51,18,8,1050
"['feature_20', 'feature_131', 'feature_520']",0.783163265,301,65,20,6,1250
"['feature_20', 'feature_206', 'feature_248']",0.785714286,296,70,14,12,1120
"['feature_20', 'feature_206', 'feature_342']",0.772959184,296,70,19,7,1270
"['feature_20', 'feature_206', 'feature_478']",0.808673469,308,58,17,9,1090
"['feature_20', 'feature_206', 'feature_520']",0.790816327,300,66,16,10,1140
"['feature_20', 'feature_248', 'feature_342']",0.762755102,292,74,19,7,1310
"['feature_20', 'feature_248', 'feature_478']",0.801020408,304,62,16,10,1100
"['feature_20', 'feature_248', 'feature_520']",0.727040816,279,87,20,6,1470
"['feature_20', 'feature_342', 'feature_478']",0.801020408,304,62,16,10,1100
"['feature_20', 'feature_342', 'feature_520']",0.75255102,286,80,17,9,1310
"['feature_20', 'feature_478', 'feature_520']",0.783163265,298,68,17,9,1190
"['feature_34', 'feature_60', 'feature_122']",0.852040816,327,39,19,7,960
"['feature_34', 'feature_60', 'feature_131']",0.816326531,309,57,15,11,1020
"['feature_34', 'feature_60', 'feature_206']",0.81377551,314,52,21,5,1150
"['feature_34', 'feature_60', 'feature_248']",0.801020408,308,58,20,6,1180
"['feature_34', 'feature_60', 'feature_342']",0.831632653,319,47,19,7,1040
"['feature_34', 'feature_60', 'feature_478']",0.806122449,310,56,20,6,1160
"['feature_34', 'feature_60', 'feature_520']",0.803571429,307,59,18,8,1130
"['feature_34', 'feature_122', 'feature_131']",0.857142857,330,36,20,6,960
"['feature_34', 'feature_122', 'feature_206']",0.816326531,313,53,19,7,1100
"['feature_34', 'feature_122', 'feature_248']",0.852040816,327,39,19,7,960
"['feature_34', 'feature_122', 'feature_342']",0.834183673,318,48,17,9,990
"['feature_34', 'feature_122', 'feature_478']",0.826530612,316,50,18,8,1040
"['feature_34', 'feature_122', 'feature_520']",0.818877551,312,54,17,9,1050
"['feature_34', 'feature_131', 'feature_206']",0.818877551,313,53,18,8,1070
"['feature_34', 'feature_131', 'feature_248']",0.785714286,302,64,20,6,1240
"['feature_34', 'feature_131', 'feature_342']",0.775510204,297,69,19,7,1260
"['feature_34', 'feature_131', 'feature_478']",0.818877551,312,54,17,9,1050
"['feature_34', 'feature_131', 'feature_520']",0.803571429,305,61,16,10,1090
"['feature_34', 'feature_206', 'feature_248']",0.826530612,313,53,15,11,980
"['feature_34', 'feature_206', 'feature_342']",0.841836735,320,46,16,10,940
